Seed,Score,Potential_Score,Commands_Sent,Failures,Tasks_Completed,Remaining_Sites,Remaining_Resources,Actor_Idle_Time,Ticks,Time_to_Run
1648221363,138.23408959407266,994.6882296372702,736,0,1,1,22,62:242;63:10439;64:10225;,18000,114.6844448428601
1648221363,138.23408959407266,994.6882296372702,736,0,1,1,22,62:242;63:10439;64:10225;,18000,116.70157812116668
1648221363,138.23408959407266,994.6882296372702,736,0,1,1,22,62:242;63:10439;64:10225;,18000,116.69841669173911
1648221363,138.23408959407266,994.6882296372702,736,0,1,1,22,62:242;63:10439;64:10225;,18000,119.73135487502441
1648221507,165.57550765359255,933.2553736175404,713,0,1,1,14,63:236;64:8225;65:10957;,18000,52.312366490252316
1648221507,165.57550765359255,933.2553736175404,713,0,1,1,14,63:236;64:8225;65:10957;,18000,51.29970124922693
1648221507,165.57550765359255,933.2553736175404,713,0,1,1,14,63:236;64:8225;65:10957;,18000,51.30246387608349
1648221507,165.57550765359255,933.2553736175404,713,0,1,1,14,63:236;64:8225;65:10957;,18000,53.327176958788186
1648221588,515.7255226605976,1005.0398648272608,947,0,3,0,19,59:255;60:5184;61:8792;,18000,35.21191959409043
1648221588,515.7255226605976,1005.0398648272608,947,0,3,0,19,59:255;60:5184;61:8792;,18000,35.21114115882665
1648221588,515.7255226605976,1005.0398648272608,947,0,3,0,19,59:255;60:5184;61:8792;,18000,36.21920506982133
1648221588,515.7255226605976,1005.0398648272608,947,0,3,0,19,59:255;60:5184;61:8792;,18000,36.222571219783276
1648221644,267.6768086940642,840.465983855795,939,0,2,1,10,55:295;56:8666;57:6729;,18000,53.32317672576755
1648221644,267.6768086940642,840.465983855795,939,0,2,1,10,55:295;56:8666;57:6729;,18000,54.325922100804746
1648221644,267.6768086940642,840.465983855795,939,0,2,1,10,55:295;56:8666;57:6729;,18000,55.33170141000301
1648221644,267.6768086940642,840.465983855795,939,0,2,1,10,55:295;56:8666;57:6729;,18000,54.330413970164955
1648221725,433.58373429698077,978.0298647170648,881,0,3,0,19,60:4811;61:3953;62:4718;,18000,49.29460082389414
1648221725,433.58373429698077,978.0298647170648,881,0,3,0,19,60:4811;61:3953;62:4718;,18000,49.302770022302866
1648221725,433.58373429698077,978.0298647170648,881,0,3,0,19,60:4811;61:3953;62:4718;,18000,50.3026732429862
1648221717,321.8796326897851,940.7013051011298,890,0,2,1,10,79:761;80:6130;81:9921;,18000,72.43891505198553
1648221791,452.58273399680064,815.2120653922121,1206,0,3,1,23,67:2181;68:2232;69:3387;,18000,43.256043246015906
1648221791,452.58273399680064,815.2120653922121,1206,0,3,1,23,67:2181;68:2232;69:3387;,18000,44.26622034609318
